,dataset,fold,roc_auc,accuracy,models
63,kc1,4,0.8354613551242766,0.8672985781990521,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
64,kc1,5,0.7837929860401771,0.8530805687203792,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
65,kc1,6,0.8224378617637044,0.8578199052132701,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
66,kc1,7,0.8576779026217229,0.8957345971563981,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
67,kc1,8,0.8701055498808309,0.8625592417061612,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
68,kc1,9,0.888321416411304,0.8720379146919431,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
69,kc1,10,0.7845856741573034,0.861904761904762,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
70,numerai28.6,1,0.522879655459306,0.5129775747508306,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='cd479462-f11d-4cde-8f24-a4d7c620419e')"
71,numerai28.6,2,0.5372686620998984,0.5255398671096345,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='d8fb5c33-c8af-421f-b2f5-22b1733163b4')"
72,numerai28.6,3,0.525959154781635,0.5197259136212624,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='91ea6de0-250c-4e96-b8c0-d0cfeb55cce2')"
